,ecpt,vanilla,Need Fix,Urgent Attention
accept02,FAIL,PASS,True,True
accept4_01,FAIL,PASS,True,True
acct02,FAIL,PASS,True,True
bind01,FAIL,PASS,True,True
bind04,FAIL,PASS,True,True
bind05,FAIL,PASS,True,True
bind06,FAIL,PASS,True,True
clock_gettime03,FAIL,PASS,True,True
clock_nanosleep03,FAIL,PASS,True,True
connect01,FAIL,PASS,True,True
connect02,FAIL,PASS,True,True
epoll_wait05,FAIL,PASS,True,True
eventfd01,FAIL,PASS,True,True
eventfd02,FAIL,PASS,True,True
eventfd03,FAIL,PASS,True,True
eventfd04,FAIL,PASS,True,True
eventfd05,FAIL,PASS,True,True
fcntl38,FAIL,PASS,True,True
fcntl38_64,FAIL,PASS,True,True
fcntl39,FAIL,PASS,True,True
fcntl39_64,FAIL,PASS,True,True
fdatasync03,FAIL,PASS,True,True
fsconfig03,FAIL,CONF,True,True
fsync04,FAIL,PASS,True,True
ftruncate04,FAIL,CONF,True,True
ftruncate04_64,FAIL,CONF,True,True
futex_cmp_requeue01,FAIL,PASS,True,True
getdtablesize01,FAIL,PASS,True,True
getrusage03,FAIL,PASS,True,True
io_cancel01,FAIL,PASS,True,True
io_destroy02,FAIL,PASS,True,True
io_getevents01,FAIL,PASS,True,True
io_setup02,FAIL,PASS,True,True
io_submit02,FAIL,PASS,True,True
io_submit03,FAIL,PASS,True,True
ioctl01,FAIL,PASS,True,True
ioperm01,FAIL,PASS,True,True
ioperm02,FAIL,PASS,True,True
iopl01,FAIL,PASS,True,True
iopl02,FAIL,PASS,True,True
keyctl09,FAIL,CONF,True,True
kill13,FAIL,CONF,True,True
msgget04,FAIL,PASS,True,True
msgget05,FAIL,PASS,True,True
msgrcv03,FAIL,PASS,True,True
process_madvise01,FAIL,CONF,True,True
recv01,FAIL,PASS,True,True
recvfrom01,FAIL,PASS,True,True
recvmmsg01,FAIL,PASS,True,True
recvmsg01,FAIL,PASS,True,True
recvmsg02,FAIL,PASS,True,True
remap_file_pages01,FAIL,PASS,True,True
sbrk02,FAIL,PASS,True,True
send01,FAIL,PASS,True,True
send02,FAIL,PASS,True,True
sendmmsg01,FAIL,PASS,True,True
sendmsg01,FAIL,PASS,True,True
sendmsg03,FAIL,PASS,True,True
sendto01,FAIL,PASS,True,True
sendto03,FAIL,PASS,True,True
setsockopt05,FAIL,PASS,True,True
setsockopt06,FAIL,PASS,True,True
setsockopt07,FAIL,PASS,True,True
setsockopt08,FAIL,PASS,True,True
setsockopt09,FAIL,PASS,True,True
shmget02,FAIL,PASS,True,True
shmget05,FAIL,PASS,True,True
shmget06,FAIL,PASS,True,True
sockioctl01,FAIL,PASS,True,True
statx09,FAIL,CONF,True,True
statx11,FAIL,CONF,True,True
sync01,FAIL,PASS,True,True
sync_file_range02,FAIL,PASS,True,True
syncfs01,FAIL,PASS,True,True
sysinfo03,FAIL,PASS,True,True
timerfd04,FAIL,PASS,True,True
