syscalls,result,n_run,n_passed,n_failed,n_skipped
abort,All Pass,1,1,0,0
accept,Some Fail,2,1,1,0
accept4,Some Fail,1,0,1,0
access,All Pass,4,4,0,0
acct,Some Fail,2,1,1,0
add_key,All Pass,5,5,0,0
adjtimex,All Pass,3,3,0,0
alarm,All Pass,5,5,0,0
bind,Some Fail,6,2,4,0
bpf,Fail: Kernel Panic,0,0,0,0
brk,All Pass,2,2,0,0
cacheflush,All Pass,0,0,0,1
capget,All Pass,2,2,0,0
capset,All Pass,4,4,0,0
chdir,All Pass,3,3,0,0
chmod,All Pass,6,6,0,0
chown,All Pass,5,5,0,5
chroot,All Pass,4,4,0,0
clock_adjtime,All Pass,2,2,0,0
clock_getres,All Pass,1,1,0,0
clock_gettime,Some Fail,5,4,1,0
clock_nanosleep,Some Fail,4,3,1,0
clock_settime,All Pass,3,3,0,0
clone,All Pass,9,9,0,0
clone3,All Pass,3,3,0,0
close,All Pass,2,2,0,0
close_range,All Pass,2,2,0,0
process_vm_readv,All Pass,3,3,0,0
process_vm_writev,All Pass,2,2,0,0
confstr,All Pass,1,1,0,0
connect,Some Fail,2,0,2,0
copy_file_range,All Pass,3,3,0,0
creat,All Pass,8,8,0,0
delete_module,Some Fail,3,1,2,0
dup,All Pass,7,7,0,0
dup2,All Pass,7,7,0,0
dup3,All Pass,2,2,0,0
epoll,All Pass,1,1,0,0
epoll_create,All Pass,2,2,0,0
epoll_create1,All Pass,2,2,0,0
epoll_ctl,All Pass,5,5,0,0
epoll_pwait,All Pass,5,5,0,0
epoll_wait,Some Fail,7,6,1,0
eventfd,Some Fail,5,0,5,1
eventfd2,All Pass,3,3,0,0
execl,All Pass,1,1,0,0
execle,All Pass,1,1,0,0
execlp,All Pass,1,1,0,0
execv,All Pass,1,1,0,0
execve,All Pass,6,6,0,0
execveat,All Pass,3,3,0,0
execvp,All Pass,1,1,0,0
exit,All Pass,2,2,0,0
exit_group,All Pass,1,1,0,0
faccessat,All Pass,2,2,0,0
faccessat2,All Pass,2,2,0,0
fadvise,All Pass,8,8,0,0
fallocate,All Pass,6,6,0,0
fanotify,Some Fail,19,18,1,4
fchdir,All Pass,3,3,0,0
fchmod,All Pass,6,6,0,0
fchmodat,All Pass,1,1,0,0
fchown,All Pass,5,5,0,5
fchownat,All Pass,2,2,0,0
fcntl,Some Fail,76,72,4,0
fdatasync,Some Fail,3,2,1,0
fgetxattr,All Pass,3,3,0,0
finit_module,Some Fail,2,0,2,0
flistxattr,All Pass,3,3,0,0
flock,All Pass,5,5,0,0
fmtmsg,All Pass,1,1,0,0
fork,All Pass,12,12,0,0
fpathconf,All Pass,1,1,0,0
fremovexattr,All Pass,2,2,0,0
fsconfig,Some Fail,3,2,1,0
fsetxattr,All Pass,1,1,0,1
fsmount,All Pass,2,2,0,0
fsopen,All Pass,2,2,0,0
fspick,All Pass,2,2,0,0
fstat,All Pass,4,4,0,0
fstatat,All Pass,1,1,0,0
